reward,len
607.0515,1882
281.9563,140
400.45483,417
363.37515,199
349.26627,279
383.7773,553
332.17117,150
313.74197,166
458.22974,679
350.85162,237
436.15952,789
391.34335,532
308.3291,162
549.7366,1559
365.0657,198
316.40363,174
396.00803,443
356.81604,272
323.05923,238
378.0713,225
337.90836,301
347.8732,166
373.87128,566
345.4937,466
514.7736,839
479.4756,1131
320.7399,268
330.25272,240
337.35156,222
354.2839,208
401.66348,574
498.9481,1120
382.71237,465
357.118,377
580.826,1261
347.91364,159
320.19907,212
359.6591,375
365.29288,337
337.03662,182
356.11627,232
369.89685,278
309.81757,153
407.97894,523
297.86545,169
498.41138,1046
300.47153,203
843.6691,3861
314.32358,218
415.6654,606
